,Thousands of euros
,2019 2018
Amounts received from and paid for equity instruments:,
- Issue of equity instruments (Note 14),-
Amounts received from and paid for financial liability instruments:,-
,
a) Issue - Bank borrowings (Note 18) - Other debt (Note 18),"45,000 2,033"
,"47,033"
b) Reimbursement and repayment of:: - Bank borrowings - Debt with Group and associated companies (Note 31 g) - Other debt - Interest payments,"(15,600) (1,276) (1,850) (93)"
Dividend payments and remuneration of other equity instruments: - Dividends (Note 15 b) & d) - Transactions with treasury shares (Note 15 c) Cash flows generated (used) in financing activities,"(18,819)"
,"(4,420) 153"
,"(4,267)"
,"23,947"
