,Thousands of euros
,2020 2019
Amounts received from and paid for financial liability instruments:,
a) Issue - Bank borrowings (Note 18) - Other debt (Note 18),"- 1,430"
,"1,430"
b) Reimbursement and repayment - Bank borrowings - Debt with Group and associated companies (Note 31 g) - Other debt - Interest payments,"(7,116) (3,135) (2,230) (299)"
Dividend payments and remuneration of other equity instruments: - Dividends (Note 15 b) & d) - Transactions with treasury shares (Note 15 c) Cash flows generated (used) in financing activities,"(12,780)"
,"(9,700) 233"
,"(9,467)"
,"(20,817)"
