,Thousands of euros
"Pre-tax profit for the year Adjustments to the profit: - Amortisation of intangible assets & property, plant & equipment (Notes 5 & 6) - Finance income (Note 24) - Finance costs (Note 24) - Adjustments for change in value of financial instruments",2020
,"75,216"
,"9,710 (649) 789 796"
- Gain or loss on derecognition of financial assets and liabilities 245,
- Net change in provisions - Grant for non-financial assets and distribution licence revenue - Other gains and losses Changes in working capital: - Inventories - Debtors and Other receivables - Creditors and other payables Other cash flows from operating activities: - Income tax received/(paid) - Other amounts received/(paid) (Note 19) Cash flows generated (used) in operating activities,"5,914 (2,101) (1,751)"
,"88,169"
,"(5,165) (141,429) 76,961"
,"(69,633)"
,"(5,884) 1,253"
,"(4,631)"
,"13,905"
